YORF,05_min,10_min,15_min,20_min,20-bis_min,40_min,60_min,80_min
YDL025C,0.461,1.179,1.987,2.3559,1.402,1.393,0.516,0.055
YKL032C,0.3537,0.1337,0.0263,0.2337,-0.6833,-0.741,-0.0577,-0.0707
YJR150C,-0.0015,-0.432,-0.925,-0.8605,-1.2,-1.496,-1.361,-2.973
YNL325C,-0.245,-0.79,0.118,0.23,0.38,0.031,0.286,-0.032
YER048C,0.485,0.879,0.703,0.84,0.864,0.144,0.39,0.555
YPR097W,-0.325,-1.072,0.068,0.097,0.112,0.133,0.365,0.087
YNL098C,0.91,1.622,1.506,1.46,1.301,0.469,0.073,0.114
YJL166W,1.3355,1.8145,1.501,3.694,1.835,0.651,0.6415,0.568
YDR006C,0.088,0.097,0.573,0.446,0.195,-0.526,-0.138,-0.01
YCR014C,-0.488,-0.363,-0.499,-0.429,-0.422,-0.786,-0.189,0.035
YOR291W,0.8615,0.433,0.779,2.3115,0.3555,0.0145,-0.14,-0.471
YGL215W,-0.038,0.472,0.186,0.0135,-0.4825,0.08,-0.2225,-0.217
YMR027W,0.258,0.948,1.197,1.159,0.842,0.796,0.215,0.12
YBR111C,0.146,1.214,1.331,1.308,0.835,1.241,0.636,0.313
YMR046C,0.109,-1.914,0.139,0.503,0.212,-0.026,0.3,0.306
YJR030C,-0.013,-0.045,-0.6405,1.1185,-1.2095,-1.062,-0.033,-0.4675
YJL200C,-0.527,-2.412,-3.4834,-2.8885,-2.434,-0.959,0.2875,0.169
YLR159W,0.072,0.919,0.228,0.578,0.174,0.083,0.325,0.229
YFL066C,-0.06,-0.076,0.563,0.622,0.66,0.446,0.352,0.368
YBR023C,-0.402,-1.16,-0.273,-0.48,-0.592,0.37,-0.602,-0.5
YEL049W,0.2,0.526,0.014,-0.028,0.015,0.095,0.065,-0.092
YER101C,0.363,0.667,0.998,0.212,0.833,0.708,0.44,0.234
YGL017W,0.397,0.737,0.599,0.315,0.309,0.045,0.258,0.126
YLR220W,0.414,1.079,1.246,0.706,0.555,1.016,0.426,0.166
YPR010C,-0.518,-2.2405,-3.225,-2.949,-2.887,-1.446,-0.754,-0.6915
YOR150W,-0.109,0.607,0.435,0.628,0.549,0.338,0.483,0.479
YJL143W,0.1055,0.388,0.076,0.239,-0.185,-0.0395,-0.1995,-0.427
YBR164C,0.083,0.028,-0.532,-0.351,-0.547,-0.723,0.013,0.04
YPL213W,0.216,0.541,-0.817,0.1387,-0.63,-1.0,-0.07,-0.559
YDL136W,0.3,-0.37,-1.412,-1.059,-1.453,-1.131,-0.536,-0.058
YJL031C,0.3715,0.8045,0.513,0.768,0.69,0.2105,0.479,0.629
YDR522C,-0.407,-0.664,-0.273,2.522,-0.49,0.122,-0.499,-0.354
YKL010C,1.697,1.666,0.964,3.128,1.71,2.304,1.2297,0.856
YPR153W,1.108,0.233,-0.559,-0.032,-0.672,-0.541,-0.092,-0.45
YGR293C,0.8695,0.022,-0.616,1.606,-0.567,0.1594,-0.41,-1.985
YER152C,0.383,1.107,1.039,0.406,0.116,1.263,0.925,0.223
YML017W,3.1845,2.716,0.0802,3.4085,0.622,1.8337,0.5691,0.6387
YLR068W,-2.062,-0.945,-0.901,2.817,-1.755,-1.066,-0.593,-0.324
YGR203W,0.595,0.57,0.506,0.3905,0.161,0.314,0.198,-0.005
YMR030W,1.0325,1.8675,1.4775,1.5815,1.3585,0.188,0.493,0.4135
