x,y,z,Primary_SGDID
77.365,61.609,15.448,S000028866
77.50171428571429,61.58114285714286,15.478714285714286,S000028866
,,,S000028866
77.50171428571429,61.58114285714286,15.478714285714286,S000028594
77.63842857142856,61.553285714285714,15.509428571428572,S000028594
,,,S000028594
77.63842857142856,61.553285714285714,15.509428571428572,S000121252
77.77514285714285,61.52542857142857,15.540142857142856,S000121252
,,,S000121252
77.77514285714285,61.52542857142857,15.540142857142856,S000028864
77.91185714285714,61.49757142857143,15.570857142857143,S000028864
,,,S000028864
77.91185714285714,61.49757142857143,15.570857142857143,S000028865
78.04857142857144,61.46971428571429,15.601571428571429,S000028865
,,,S000028865
78.04857142857144,61.46971428571429,15.601571428571429,S000028862
78.18528571428571,61.441857142857145,15.632285714285716,S000028862
,,,S000028862
78.18528571428571,61.441857142857145,15.632285714285716,S000002143
78.322,61.414,15.663,S000002143
,,,S000002143
78.322,61.414,15.663,S000002142
79.279,61.218,15.878,S000002142
,,,S000002142
79.279,61.218,15.878,S000028593
80.236,61.023,16.093,S000028593
,,,S000028593
80.236,61.023,16.093,S000121253
76.408,61.804,15.232,S000121253
,,,S000121253
76.408,61.804,15.232,S000002141
77.2788,61.6264,15.428,S000002141
,,,S000002141
77.2788,61.6264,15.428,S000000061
78.1496,61.4488,15.624,S000000061
,,,S000000061
78.1496,61.4488,15.624,S000001817
79.0204,61.2712,15.82,S000001817
,,,S000001817
79.0204,61.2712,15.82,S000000062
79.8912,61.0936,16.016,S000000062
,,,S000000062
79.8912,61.0936,16.016,S000002140
80.762,60.916,16.212,S000002140
,,,S000002140
80.762,60.916,16.212,
81.192,60.836,16.314,
,,,
81.192,60.836,16.314,
81.61,60.777,16.425,
,,,
81.61,60.777,16.425,
82.018,60.736,16.544,
,,,
82.018,60.736,16.544,
82.414,60.715,16.673,
,,,
82.414,60.715,16.673,
82.798,60.713,16.81,
,,,
82.798,60.713,16.81,
83.172,60.731,16.955,
,,,
83.172,60.731,16.955,
83.534,60.768,17.109,
,,,
83.534,60.768,17.109,
83.886,60.824,17.272,
,,,
83.886,60.824,17.272,
84.225,60.9,17.444,
,,,
84.225,60.9,17.444,
84.554,60.995,17.624,
,,,
84.554,60.995,17.624,
84.872,61.11,17.813,
,,,
84.872,61.11,17.813,
85.178,61.244,18.011,
,,,
85.178,61.244,18.011,
85.473,61.397,18.217,
,,,
85.473,61.397,18.217,
85.757,61.569,18.432,
,,,
85.757,61.569,18.432,S000000060
86.029,61.761,18.655,S000000060
,,,S000000060
86.029,61.761,18.655,
86.29,61.973,18.887,
,,,
86.29,61.973,18.887,S000028813
86.415,62.088,19.0075,S000028813
,,,S000028813
86.415,62.088,19.0075,S000006787
86.54,62.203,19.128,S000006787
,,,S000006787
86.54,62.203,19.128,
86.779,62.453,19.378,
,,,
86.779,62.453,19.378,
87.007,62.723,19.636,
,,,
87.007,62.723,19.636,
87.223,63.011,19.903,
,,,
87.223,63.011,19.903,
87.428,63.312,20.173,
,,,
87.428,63.312,20.173,
87.62,63.617,20.442,
,,,
87.62,63.617,20.442,
87.799,63.926,20.71,
,,,
87.799,63.926,20.71,
87.966,64.239,20.976,
,,,
87.966,64.239,20.976,
88.121,64.556,21.241,
,,,
88.121,64.556,21.241,
88.263,64.878,21.504,
,,,
88.263,64.878,21.504,S000000059
88.393,65.204,21.766,S000000059
,,,S000000059
88.393,65.204,21.766,
88.51,65.534,22.026,
,,,
88.51,65.534,22.026,
88.615,65.869,22.285,
,,,
88.615,65.869,22.285,
88.707,66.207,22.543,
,,,
88.707,66.207,22.543,
88.787,66.55,22.799,
,,,
88.787,66.55,22.799,
88.854,66.897,23.053,
,,,
88.854,66.897,23.053,S000178034
88.8815,67.07300000000001,23.18,S000178034
,,,S000178034
88.8815,67.07300000000001,23.18,S000118317
88.909,67.249,23.307,S000118317
,,,S000118317
88.909,67.249,23.307,S000000058
88.951,67.604,23.558,S000000058
,,,S000000058
88.951,67.604,23.558,
88.981,67.964,23.809,
,,,
88.981,67.964,23.809,
88.999,68.328,24.057,
,,,
88.999,68.328,24.057,S000000057
89.003,68.696,24.305,S000000057
,,,S000000057
89.003,68.696,24.305,
88.996,69.069,24.551,
,,,
88.996,69.069,24.551,
88.976,69.446,24.795,
,,,
88.976,69.446,24.795,S000000056
88.943,69.827,25.039,S000000056
,,,S000000056
88.943,69.827,25.039,
88.909,70.198,25.266,
,,,
88.909,70.198,25.266,
88.883,70.545,25.464,
,,,
88.883,70.545,25.464,S000000055
88.865,70.868,25.632,S000000055
,,,S000000055
88.865,70.868,25.632,S000028734
88.856,71.166,25.77,S000028734
,,,S000028734
88.856,71.166,25.77,
88.855,71.441,25.878,
,,,
88.855,71.441,25.878,S000000054
88.863,71.691,25.956,S000000054
,,,S000000054
88.863,71.691,25.956,
88.879,71.917,26.005,
,,,
88.879,71.917,26.005,
88.904,72.12,26.023,
,,,
88.904,72.12,26.023,
88.937,72.298,26.012,
,,,
88.937,72.298,26.012,
88.978,72.452,25.971,
,,,
88.978,72.452,25.971,
89.028,72.581,25.901,
,,,
89.028,72.581,25.901,S000002139
89.087,72.687,25.8,S000002139
,,,S000002139
89.087,72.687,25.8,S000000052
89.153,72.769,25.67,S000000052
,,,S000000052
89.153,72.769,25.67,
89.229,72.826,25.51,
,,,
89.229,72.826,25.51,
89.313,72.859,25.32,
,,,
89.313,72.859,25.32,
89.405,72.868,25.1,
,,,
89.405,72.868,25.1,
89.505,72.853,24.85,
,,,
89.505,72.853,24.85,
89.614,72.814,24.571,
,,,
89.614,72.814,24.571,
89.732,72.751,24.262,
,,,
89.732,72.751,24.262,
89.858,72.664,23.922,
,,,
89.858,72.664,23.922,S000121254
89.981,72.56,23.569,S000121254
,,,S000121254
89.981,72.56,23.569,S000000051
90.09,72.449,23.216,S000000051
,,,S000000051
90.09,72.449,23.216,
90.185,72.33,22.863,
,,,
90.185,72.33,22.863,
90.265,72.203,22.511,
,,,
90.265,72.203,22.511,
90.332,72.068,22.16,
,,,
90.332,72.068,22.16,
90.384,71.925,21.809,
,,,
90.384,71.925,21.809,
90.422,71.775,21.459,
,,,
90.422,71.775,21.459,S000000050
90.445,71.616,21.109,S000000050
,,,S000000050
90.445,71.616,21.109,S000000049
90.455,71.45,20.76,S000000049
,,,S000000049
90.455,71.45,20.76,
90.45,71.275,20.412,
,,,
90.45,71.275,20.412,
90.431,71.093,20.064,
,,,
90.431,71.093,20.064,
90.398,70.903,19.716,
,,,
90.398,70.903,19.716,
90.351,70.705,19.37,
,,,
90.351,70.705,19.37,
90.289,70.499,19.024,
,,,
90.289,70.499,19.024,S000000048
90.213,70.285,18.678,S000000048
,,,S000000048
90.213,70.285,18.678,
90.123,70.063,18.333,
,,,
90.123,70.063,18.333,
90.019,69.834,17.989,
,,,
90.019,69.834,17.989,
89.901,69.596,17.645,
,,,
89.901,69.596,17.645,
89.768,69.351,17.302,
,,,
89.768,69.351,17.302,
89.621,69.098,16.959,
,,,
89.621,69.098,16.959,
89.482,68.844,16.622,
,,,
89.482,68.844,16.622,S000000047
89.37,68.596,16.295,S000000047
,,,S000000047
89.37,68.596,16.295,
89.287,68.354,15.978,
,,,
89.287,68.354,15.978,
89.233,68.119,15.671,
,,,
89.233,68.119,15.671,
89.206,67.891,15.375,
,,,
89.206,67.891,15.375,
89.208,67.668,15.089,
,,,
89.208,67.668,15.089,S000028733
89.2235,67.56,14.951,S000028733
,,,S000028733
89.2235,67.56,14.951,S000000046
89.239,67.452,14.813,S000000046
,,,S000000046
89.239,67.452,14.813,
89.298,67.243,14.547,
,,,
89.298,67.243,14.547,
89.385,67.04,14.291,
,,,
89.385,67.04,14.291,
89.5,66.843,14.045,
,,,
89.5,66.843,14.045,
89.644,66.652,13.81,
,,,
89.644,66.652,13.81,S000000045
89.816,66.468,13.585,S000000045
,,,S000000045
89.816,66.468,13.585,S000000044
90.017,66.29,13.37,S000000044
,,,S000000044
90.017,66.29,13.37,S000000043
90.1315,66.20400000000001,13.267499999999998,S000000043
,,,S000000043
90.1315,66.20400000000001,13.267499999999998,S000007586
90.246,66.118,13.165,S000007586
,,,S000007586
90.246,66.118,13.165,
90.503,65.953,12.97,
,,,
90.503,65.953,12.97,S000000042
90.789,65.794,12.786,S000000042
